Setting logging level to INFO
2026-01-28 17:28:43.078-0500 | main | INFO  | Besu | Starting Besu
2026-01-28 17:28:44.349-0500 | main | INFO  | FlatDbStrategyProvider | Flat db mode found FULL
2026-01-28 17:28:44.351-0500 | main | INFO  | FlatDbStrategyProvider | DB mode with code stored using code hash enabled = true
2026-01-28 17:28:44.365-0500 | main | INFO  | FlatDbStrategyProvider | Flat db mode found FULL
2026-01-28 17:28:44.366-0500 | main | INFO  | FlatDbStrategyProvider | DB mode with code stored using code hash enabled = true
2026-01-28 17:28:44.492-0500 | main | INFO  | TransactionPoolFactory | Enabling transaction pool
2026-01-28 17:28:44.513-0500 | main | INFO  | BesuControllerBuilder | QBFT is configured, creating initial sync for BFT
2026-01-28 17:28:44.516-0500 | main | INFO  | BFTPivotSelectorFromPeers | Creating pivot block selector for BFT node
2026-01-28 17:28:44.558-0500 | main | INFO  | RunnerBuilder | Resolved 0 bootnodes.
2026-01-28 17:28:44.567-0500 | main | INFO  | RunnerBuilder | Detecting NAT service.
2026-01-28 17:28:44.641-0500 | main | INFO  | Runner | Starting external services ... 
2026-01-28 17:28:44.642-0500 | main | INFO  | MetricsHttpService | Starting metrics http service on 0.0.0.0:9545
2026-01-28 17:28:44.670-0500 | main | INFO  | AutoTransactionLogBloomCachingService | Starting auto transaction log bloom caching service.
2026-01-28 17:28:44.671-0500 | main | INFO  | LogBloomCacheMetadata | Lookup cache metadata file in data directory: /home/unified/besublockchain/Nodes/Node-FCI-Boot/data/caches
2026-01-28 17:28:44.688-0500 | main | INFO  | Runner | Starting Ethereum main loop ... 
2026-01-28 17:28:44.688-0500 | main | INFO  | NatService | No NAT environment detected so no service could be started
2026-01-28 17:28:44.688-0500 | main | INFO  | NetworkRunner | Starting Network.
2026-01-28 17:28:44.767-0500 | nioEventLoopGroup-2-1 | INFO  | RlpxAgent | P2P RLPx agent started and listening on /[0:0:0:0:0:0:0:0]:30303.
2026-01-28 17:28:44.767-0500 | main | INFO  | PeerDiscoveryAgent | Starting peer discovery agent on host=0.0.0.0, port=30303. IPv6 available.
2026-01-28 17:28:44.785-0500 | vert.x-eventloop-thread-1 | INFO  | VertxPeerDiscoveryAgent | Started peer discovery agent successfully, on effective host=0:0:0:0:0:0:0:0 and port=30303
2026-01-28 17:28:44.787-0500 | vert.x-eventloop-thread-1 | INFO  | PeerDiscoveryAgent | P2P peer discovery agent started and listening on /[0:0:0:0:0:0:0:0]:30303
